# Experiment: safety_v2
# Description: Safety bonus mult=3.0
# Reward change: safety_mult 2.0→3.0
# Box type: kinematic
# X axis: trainer_timestep (1 timestep = 4096 env steps)
# Y axis: see column headers
trainer_timestep,progress_pct,Total_reward_mean,overlap_ratio,r_success,xy_err
2441,1.0,17402.939453125,0.22198784351348877,0.09206531941890717,0.20411060750484467
4882,2.0,21005.908203125,0.2510664165019989,0.11038336902856827,0.18733268976211548
7323,3.0,21258.52734375,0.2568531632423401,0.11278876662254333,0.18169549107551575
9764,4.0,19767.544921875,0.23186340928077698,0.10045171529054642,0.18913598358631134
12205,5.0,18245.32421875,0.2328999638557434,0.10060174018144608,0.1929103434085846
14646,6.0,17491.52734375,0.2360086441040039,0.10192696005105972,0.18930882215499878
17087,7.0,17124.01953125,0.23124554753303528,0.09980660676956177,0.19162088632583618
19528,8.0,15300.384765625,0.2181585133075714,0.09244538098573685,0.19995705783367157
21969,9.0,14802.2392578125,0.2156953364610672,0.09169025719165802,0.20643290877342224
24410,10.0,13787.333984375,0.20266093313694,0.08614933490753174,0.21343834698200226
26851,11.0,14574.3310546875,0.20943695306777954,0.08979994058609009,0.20316118001937866
29292,12.0,15851.9130859375,0.22573980689048767,0.0974012091755867,0.19408763945102692
31733,13.0,16484.115234375,0.2290191501379013,0.09914650022983551,0.19090300798416138
34174,14.0,15421.603515625,0.2181796431541443,0.09382060915231705,0.19384081661701202
36615,15.0,17280.390625,0.2335090935230255,0.10181193798780441,0.18783146142959595
39056,16.0,17546.01953125,0.24303998053073883,0.10642770677804947,0.1834988296031952
41497,17.0,16736.05859375,0.2449083924293518,0.10743787884712219,0.18847733736038208
43938,18.0,18122.126953125,0.24670761823654175,0.10726284980773926,0.17636331915855408
46379,19.0,19293.365234375,0.25605130195617676,0.1139889657497406,0.1740722805261612
48820,20.0,19033.93359375,0.25244632363319397,0.11197363585233688,0.17446140944957733
51261,21.0,17867.07421875,0.2550254762172699,0.11211365461349487,0.17147186398506165
53702,22.0,17920.748046875,0.25285112857818604,0.11003831028938293,0.17269448935985565
56143,23.0,17531.798828125,0.24406850337982178,0.10705781728029251,0.17644962668418884
58584,24.0,16832.876953125,0.23266443610191345,0.10155189782381058,0.18105004727840424
61025,25.0,15392.91796875,0.22268672287464142,0.09717617183923721,0.18709975481033325
63466,26.0,13300.123046875,0.20677660405635834,0.09023001790046692,0.20008105039596558
65907,27.0,11740.6171875,0.18667753040790558,0.07921817898750305,0.2093670666217804
68348,28.0,12412.3935546875,0.1859789788722992,0.08043838292360306,0.208749458193779
70789,29.0,12213.0107421875,0.18800193071365356,0.08203364908695221,0.21441777050495148
73230,30.0,12242.3115234375,0.18944470584392548,0.0813085287809372,0.20945622026920319
75671,31.0,12457.16796875,0.19321267306804657,0.0843440368771553,0.20332100987434387
78112,32.0,14028.939453125,0.2001972496509552,0.08808965981006622,0.194700226187706
80553,33.0,14707.3125,0.20850595831871033,0.09207531809806824,0.1895836442708969
82994,34.0,15457.5859375,0.21892933547496796,0.0977562665939331,0.1852271854877472
85435,35.0,14765.2392578125,0.2143278419971466,0.09574592858552933,0.1906685084104538
87876,36.0,14028.4404296875,0.20373627543449402,0.0910351499915123,0.1920807808637619
90317,37.0,12846.6904296875,0.1977664828300476,0.08679444342851639,0.19356870651245117
92758,38.0,10836.455078125,0.18387508392333984,0.07729785889387131,0.20075513422489166
95199,39.0,12710.7841796875,0.1911116987466812,0.08243371546268463,0.19638784229755402
97640,40.0,10215.1943359375,0.14558443427085876,0.06090013310313225,0.2141050100326538
100081,41.0,11437.66796875,0.1673070192337036,0.06880644708871841,0.20300838351249695
102522,42.0,12056.6865234375,0.18289774656295776,0.07593763619661331,0.19568079710006714
104963,43.0,12171.595703125,0.18229076266288757,0.077537901699543,0.195780411362648
107404,44.0,13649.6064453125,0.2071104347705841,0.08783961832523346,0.18763986229896545
109845,45.0,14320.05078125,0.21670933067798615,0.09349055588245392,0.18832284212112427
112286,46.0,15739.359375,0.23684857785701752,0.10367225110530853,0.17824311554431915
114727,47.0,16061.6083984375,0.24456025660037994,0.10728785395622253,0.1766161471605301
117168,48.0,15239.1923828125,0.2374323010444641,0.104347363114357,0.17901787161827087
119609,49.0,15441.0693359375,0.24236442148685455,0.10721784085035324,0.18002834916114807
122050,50.0,15361.5673828125,0.2463720142841339,0.10810799151659012,0.17884495854377747
124491,51.0,14752.1494140625,0.2445075362920761,0.10667774826288223,0.184077188372612
126932,52.0,15582.2041015625,0.24631232023239136,0.10782793909311295,0.18315696716308594
129373,53.0,16216.4267578125,0.25019755959510803,0.109183169901371,0.18234401941299438
131814,54.0,16669.19921875,0.2570239305496216,0.1124587133526802,0.1779801845550537
134255,55.0,17493.228515625,0.2660660743713379,0.11762957274913788,0.17589080333709717
136696,56.0,17606.029296875,0.27306005358695984,0.11888477951288223,0.1744970828294754
139137,57.0,18108.611328125,0.27450400590896606,0.12187527865171432,0.17336419224739075
141578,58.0,17989.443359375,0.2698419690132141,0.11963490396738052,0.17963913083076477
144019,59.0,18058.5390625,0.2692982256412506,0.11895479261875153,0.18128126859664917
146460,60.0,18022.4921875,0.26400914788246155,0.11669941991567612,0.17917796969413757
148901,61.0,17101.6171875,0.24324527382850647,0.10606765002012253,0.1820766031742096
151342,62.0,16822.69140625,0.2383633553981781,0.10482744127511978,0.1819887012243271
153783,63.0,17426.439453125,0.240597665309906,0.10575760155916214,0.1781090646982193
156224,64.0,16508.998046875,0.23194874823093414,0.10215699672698975,0.18161986768245697
158665,65.0,15513.1201171875,0.21871799230575562,0.0966910868883133,0.1870199590921402
161106,66.0,15605.775390625,0.22584030032157898,0.09891645610332489,0.18537934124469757
163547,67.0,16110.2763671875,0.24283570051193237,0.10713282972574234,0.1807960867881775
165988,68.0,15333.9833984375,0.2335858941078186,0.1031421646475792,0.1852750927209854
168429,69.0,15256.0869140625,0.2327509969472885,0.10270208865404129,0.18412022292613983
170870,70.0,14999.66015625,0.23786401748657227,0.10495246201753616,0.18506461381912231
173311,71.0,13813.0458984375,0.22384527325630188,0.09849639236927032,0.19040079414844513
175752,72.0,12776.9072265625,0.20584923028945923,0.08870475739240646,0.19636139273643494
178193,73.0,11032.9990234375,0.1907038390636444,0.08002831786870956,0.20619042217731476
180634,74.0,12692.8359375,0.21472372114658356,0.08971992880105972,0.19348207116127014
183075,75.0,14636.3681640625,0.2341509312391281,0.10165691375732422,0.184890016913414
185516,76.0,14549.4365234375,0.23389293253421783,0.10189695656299591,0.18776865303516388
187957,77.0,13924.28515625,0.23836027085781097,0.10444238036870956,0.18952210247516632
190398,78.0,14191.828125,0.24266549944877625,0.10630769282579422,0.1847643107175827
192839,79.0,15545.4873046875,0.25462767481803894,0.11215366423130035,0.18007953464984894
195280,80.0,16466.875,0.26491284370422363,0.11772459000349045,0.17641818523406982
197721,81.0,16799.16796875,0.26660364866256714,0.1180996522307396,0.17283989489078522
200162,82.0,16819.990234375,0.2661152780056,0.11737453192472458,0.17109030485153198
202603,83.0,16464.125,0.26488691568374634,0.11525917798280716,0.17182421684265137
205044,84.0,14954.5146484375,0.2540866732597351,0.10870809108018875,0.17852288484573364
207485,85.0,15766.73828125,0.2607482969760895,0.1148691177368164,0.17595936357975006
209926,86.0,16215.8056640625,0.26468154788017273,0.11650938540697098,0.17290718853473663
212367,87.0,15747.6298828125,0.2503334581851959,0.11009331792593002,0.17623117566108704
214808,88.0,15849.65234375,0.2583501935005188,0.11297880113124847,0.1748964488506317
217249,89.0,15095.396484375,0.25049564242362976,0.10985328257083893,0.1812712848186493
219690,90.0,14678.6396484375,0.23792104423046112,0.10386728495359421,0.1823982447385788
222131,91.0,14473.5078125,0.22971992194652557,0.09975159913301468,0.18572819232940674
224572,92.0,13586.1005859375,0.21897970139980316,0.09316050261259079,0.18950071930885315
227013,93.0,13556.0576171875,0.21809251606464386,0.09269542247056961,0.18723882734775543
229454,94.0,11985.73046875,0.19925746321678162,0.0817486047744751,0.19230368733406067
231895,95.0,13224.2177734375,0.20959782600402832,0.08588428795337677,0.18048706650733948
234336,96.0,14391.837890625,0.22050882875919342,0.09413566440343857,0.17796875536441803
236777,97.0,14441.6201171875,0.22367297112941742,0.09668108820915222,0.178617462515831
239218,98.0,14409.302734375,0.22347649931907654,0.09482578188180923,0.1787988692522049
241659,99.0,13249.4091796875,0.21692846715450287,0.09142521023750305,0.18368802964687347
244100,100.0,11895.5498046875,0.20927980542182922,0.08409399539232254,0.18780776858329773
