# Experiment: dynamic_v2
# Description: Stage1→dynamic from scratch
"# Reward change: safety_mult(2.0), dynamic box"
# Box type: dynamic
# X axis: trainer_timestep (1 timestep = 4096 env steps)
# Y axis: see column headers
trainer_timestep,progress_pct,Total_reward_mean,overlap_ratio,r_success,xy_err
4882,1.0,3732.03125,0.020922908559441566,0.004025669768452644,148.87545776367188
9764,2.0,4398.28173828125,0.021598879247903824,0.0034905809443444014,43.878902435302734
14646,3.0,4577.8203125,0.02558521367609501,0.0030105009209364653,45.44298553466797
19528,4.0,4665.3974609375,0.025002839043736458,0.002925486769527197,45.85940170288086
24410,5.0,6000.22216796875,0.03576655313372612,0.004403232596814632,44.19755554199219
29292,6.0,6328.943359375,0.03843473643064499,0.006328552961349487,41.61957931518555
34174,7.0,5254.7548828125,0.029262874275445938,0.004675778094679117,42.33494567871094
39056,8.0,5625.2734375,0.03161492943763733,0.00522836996242404,37.907196044921875
43938,9.0,3658.5556640625,0.015767604112625122,0.001575262169353664,40.87968826293945
48820,10.0,4463.91357421875,0.024472888559103012,0.002697948832064867,36.38600158691406
53702,11.0,5840.17626953125,0.03713049739599228,0.005205866415053606,37.98662185668945
58584,12.0,6082.5517578125,0.0405757799744606,0.005628436803817749,31.92200469970703
63466,13.0,5702.548828125,0.039772529155015945,0.005260875448584557,32.220062255859375
68348,14.0,5692.14306640625,0.03871828690171242,0.004708283580839634,27.173168182373047
73230,15.0,6149.95947265625,0.041641417890787125,0.005493414122611284,25.35158348083496
78112,16.0,6043.53369140625,0.040832873433828354,0.005590930115431547,27.268661499023438
82994,17.0,5645.63232421875,0.038656897842884064,0.005118351895362139,29.361276626586914
87876,18.0,5665.73681640625,0.03756311535835266,0.004573260899633169,27.086658477783203
92758,19.0,5627.3623046875,0.03623153641819954,0.004600765649229288,28.32356834411621
97640,20.0,5374.58251953125,0.036569494754076004,0.004890813957899809,31.108095169067383
102522,21.0,5656.18310546875,0.041217271238565445,0.006061008665710688,29.445180892944336
107404,22.0,5722.1728515625,0.040365710854530334,0.005695947911590338,28.533405303955078
112286,23.0,5393.0,0.03981025889515877,0.005870976950973272,22.99661636352539
117168,24.0,5710.77490234375,0.040927596390247345,0.005303382407873869,24.68739891052246
122050,25.0,5013.5400390625,0.03805152326822281,0.004938321653753519,25.549606323242188
126932,26.0,4492.50732421875,0.034413594752550125,0.004530753940343857,26.971393585205078
131814,27.0,4444.84521484375,0.03295767307281494,0.004103182815015316,25.214263916015625
136696,28.0,4508.25830078125,0.034916192293167114,0.004293214529752731,24.705230712890625
141578,29.0,5139.46923828125,0.046959515661001205,0.006748622749000788,23.924697875976562
146460,30.0,5867.64306640625,0.05559416115283966,0.00885897409170866,21.23048210144043
151342,31.0,5506.1904296875,0.05093273147940636,0.007656273897737265,18.825918197631836
156224,32.0,5656.5732421875,0.05120791122317314,0.007541255094110966,19.504486083984375
161106,33.0,6042.28466796875,0.055754393339157104,0.008846472017467022,17.079822540283203
165988,34.0,5953.69873046875,0.05565892532467842,0.009736619889736176,16.072511672973633
170870,35.0,5605.7939453125,0.05151297524571419,0.00853642076253891,16.886232376098633
175752,36.0,6625.2041015625,0.06237199157476425,0.01077929325401783,14.409895896911621
180634,37.0,6853.69921875,0.06255155056715012,0.010066675022244453,16.250951766967773
185516,38.0,6764.99365234375,0.06068461015820503,0.009591596201062202,16.66979217529297
190398,39.0,6295.7080078125,0.05898895859718323,0.008956490084528923,17.559545516967773
195280,40.0,6204.96923828125,0.05718647688627243,0.00806634221225977,17.650854110717773
200162,41.0,6242.92431640625,0.060687072575092316,0.008208866231143475,17.669292449951172
205044,42.0,5403.52392578125,0.054383449256420135,0.006596097722649574,18.7183780670166
209926,43.0,6463.2353515625,0.06855951249599457,0.010469241999089718,13.943721771240234
214808,44.0,6982.09619140625,0.07578735053539276,0.013072174973785877,11.602497100830078
219690,45.0,6513.59814453125,0.07164964824914932,0.011861973442137241,11.848145484924316
224572,46.0,6358.7724609375,0.07214830070734024,0.012299546971917152,13.207974433898926
229454,47.0,5869.75537109375,0.06662819534540176,0.010759290307760239,12.702539443969727
234336,48.0,6782.150390625,0.07776850461959839,0.014529917389154434,10.833775520324707
239218,49.0,6783.5966796875,0.07658182829618454,0.013732285238802433,10.788783073425293
244100,50.0,6486.33447265625,0.07038728147745132,0.012049505487084389,12.142529487609863
248982,51.0,6800.76708984375,0.07489129155874252,0.013889811001718044,11.075617790222168
253864,52.0,6594.43603515625,0.07184934616088867,0.01334972120821476,11.166687965393066
258746,53.0,6159.5361328125,0.06545694917440414,0.012001996859908104,12.234819412231445
263628,54.0,6858.75927734375,0.07592956721782684,0.015105013735592365,12.039673805236816
268510,55.0,7277.03515625,0.07944250106811523,0.016422733664512634,11.470553398132324
273392,56.0,7197.0791015625,0.0779888778924942,0.01494748704135418,11.631916046142578
278274,57.0,6554.24853515625,0.07245511561632156,0.01326970849186182,13.170402526855469
283156,58.0,6733.9970703125,0.07407911121845245,0.01444490347057581,13.036952018737793
288038,59.0,6663.76904296875,0.07407752424478531,0.014574925415217876,11.459928512573242
292920,60.0,6938.9072265625,0.07884199172258377,0.015485077165067196,12.391182899475098
297802,61.0,7286.9541015625,0.08078016340732574,0.016425233334302902,10.910950660705566
302684,62.0,7421.77392578125,0.08175472170114517,0.017015330493450165,11.355009078979492
307566,63.0,7164.05322265625,0.07826828956604004,0.01624770276248455,12.04935359954834
312448,64.0,6976.91845703125,0.07631360739469528,0.01591014675796032,13.734078407287598
317330,65.0,7264.83203125,0.08059076219797134,0.01645773835480213,12.073013305664062
322212,66.0,7432.0615234375,0.08354534208774567,0.01881813071668148,10.498377799987793
327094,67.0,7604.24658203125,0.08643336594104767,0.018240535631775856,9.141179084777832
331976,68.0,7309.69091796875,0.0803615003824234,0.016960322856903076,11.605744361877441
336858,69.0,6795.17041015625,0.07522714138031006,0.015045003034174442,11.856158256530762
341740,70.0,5928.88037109375,0.06643062829971313,0.013104680925607681,12.05854320526123
346622,71.0,5797.5576171875,0.06760664284229279,0.01310718059539795,10.464841842651367
351504,72.0,5554.65625,0.06566476076841354,0.012412065640091896,9.85115909576416
356386,73.0,5345.732421875,0.060959458351135254,0.011169358156621456,10.059741973876953
361268,74.0,5197.93603515625,0.06211277097463608,0.010621767491102219,10.164003372192383
366150,75.0,5211.38134765625,0.0662439689040184,0.011869475245475769,9.79765510559082
371032,76.0,5481.9072265625,0.069710873067379,0.012819632887840271,8.882505416870117
375914,77.0,6397.57177734375,0.07806973159313202,0.014507413841784,8.486194610595703
380796,78.0,6505.80078125,0.08033933490514755,0.015725117176771164,9.122745513916016
385678,79.0,6663.03857421875,0.07773590087890625,0.014892478473484516,8.757207870483398
390560,80.0,6853.115234375,0.0813266858458519,0.016832800582051277,9.56144905090332
395442,81.0,6777.93798828125,0.08327074348926544,0.01641773246228695,8.759678840637207
400324,82.0,7646.919921875,0.09378355741500854,0.022906310856342316,9.308904647827148
405206,83.0,7191.90185546875,0.08939216285943985,0.019128182902932167,9.89640998840332
410088,84.0,7991.43115234375,0.09689239412546158,0.022518746554851532,8.561627388000488
414970,85.0,7834.56640625,0.09351703524589539,0.020853469148278236,10.579700469970703
419852,86.0,9019.9541015625,0.1016494482755661,0.02496415376663208,9.22191047668457
424734,87.0,8192.1484375,0.09949127584695816,0.02341889776289463,8.359211921691895
429616,88.0,7596.9306640625,0.09903740137815475,0.02373644895851612,7.349834442138672
434498,89.0,7363.34716796875,0.0877838209271431,0.02053341642022133,7.53966760635376
439380,90.0,7771.94287109375,0.09299703687429428,0.02154858596622944,8.66696548461914
444262,91.0,6468.6328125,0.07846967875957489,0.016377724707126617,12.421615600585938
449144,92.0,5964.81005859375,0.06610623747110367,0.012764624319970608,12.87684154510498
454026,93.0,6091.17041015625,0.07129664719104767,0.01482496690005064,12.984498023986816
458908,94.0,6664.978515625,0.07143859565258026,0.01529504545032978,14.302791595458984
463790,95.0,6721.06640625,0.07533179968595505,0.01609017699956894,11.95388412475586
468672,96.0,7959.64697265625,0.08777263015508652,0.020040834322571754,14.248004913330078
473554,97.0,7750.78955078125,0.08408740162849426,0.018525581806898117,13.103418350219727
478436,98.0,8122.05517578125,0.08611225336790085,0.019340718165040016,11.045949935913086
483318,99.0,6328.20654296875,0.06453783810138702,0.012644603848457336,11.637423515319824
488200,100.0,7225.41064453125,0.0764426663517952,0.015255038626492023,12.98060417175293
